platform	dbGapId
dbGaP	phs001063
dbGaP	phs001064
dbGaP	phs001065
dbGaP	phs001066
dbGaP	phs001067
dbGaP	phs001071
dbGaP	phs001072
dbGaP	phs001073
dbGaP	phs001075
dbGaP	phs001076
dbGaP	phs001077
dbGaP	phs001078
dbGaP	phs001079
dbGaP	phs001080
dbGaP	phs001081
dbGaP	phs001082
dbGaP	phs001083
dbGaP	phs001084
dbGaP	phs001085
dbGaP	phs001087
dbGaP	phs001088
dbGaP	phs001089
dbGaP	phs001090
dbGaP	phs001091
dbGaP	phs001092
dbGaP	phs001093
dbGaP	phs001094
dbGaP	phs001095
dbGaP	phs001096
dbGaP	phs001097
dbGaP	phs001099
dbGaP	phs001100
dbGaP	phs001102
dbGaP	phs001103
dbGaP	phs001104
dbGaP	phs001105
dbGaP	phs001106
dbGaP	phs001107
dbGaP	phs001108
dbGaP	phs001109
dbGaP	phs001111
dbGaP	phs001112
dbGaP	phs001113
dbGaP	phs001114
dbGaP	phs001115
dbGaP	phs001116
dbGaP	phs001117
dbGaP	phs001118
dbGaP	phs001119
dbGaP	phs001120
dbGaP	phs001121
dbGaP	phs001122
dbGaP	phs001123
dbGaP	phs001124
dbGaP	phs001125
dbGaP	phs001126
dbGaP	phs001127
dbGaP	phs001128
dbGaP	phs001129
dbGaP	phs001130
dbGaP	phs001131
dbGaP	phs001132
dbGaP	phs001133
dbGaP	phs001134
dbGaP	phs001135
dbGaP	phs001139
dbGaP	phs001140
dbGaP	phs001141
dbGaP	phs001142
dbGaP	phs001145
dbGaP	phs001146
dbGaP	phs001150
dbGaP	phs001151
dbGaP	phs001152
dbGaP	phs001153
dbGaP	phs001154
dbGaP	phs001156
dbGaP	phs001157
dbGaP	phs001158
dbGaP	phs001159
dbGaP	phs001163
dbGaP	phs001164
dbGaP	phs001165
dbGaP	phs001166
dbGaP	phs001167
dbGaP	phs001169
dbGaP	phs001170
dbGaP	phs001171
dbGaP	phs001172
dbGaP	phs001173
dbGaP	phs001174
dbGaP	phs001175
dbGaP	phs001176
dbGaP	phs001177
dbGaP	phs001181
dbGaP	phs001182
dbGaP	phs001183
dbGaP	phs001185
dbGaP	phs001187
dbGaP	phs001188
dbGaP	phs001190
dbGaP	phs001191
dbGaP	phs001192
dbGaP	phs001193
